Index,Comuna2,Barrio,Latitude,Longitude
0,15,AGRONOMIA,-34.5925,-58.4944
1,5,ALMAGRO,-34.6111,-58.4202
2,3,BALVANERA,-34.6101,-58.4059
3,4,BARRACAS,-34.6411,-58.3774
4,13,BELGRANO,-34.5621,-58.4567
5,4,BOCA,-34.6345,-58.3631
6,5,BOEDO,-34.631,-58.4202
7,6,CABALLITO,-34.6209,-58.4459
8,15,CHACARITA,-34.586,-58.4544
9,12,COGHLAN,-34.561,-58.4759
10,13,COLEGIALES,-34.5744,-58.4487
11,1,CONSTITUCION,-34.6261,-58.386
12,7,FLORES,-34.6375,-58.4601
13,10,FLORESTA,-34.6283,-58.4844
14,9,LINIERS,-34.6439,-58.5172
15,9,MATADEROS,-34.6572,-58.503
16,1,MONSERRAT,-34.6131,-58.3814
17,10,MONTE CASTRO,-34.6207,-58.5058
18,4,NUEVA POMPEYA,-34.6509,-58.4202
19,13,NUÑEZ,-34.5427,-58.4601
20,14,PALERMO,-34.5712,-58.4233
21,9,PARQUE AVELLANEDA,-34.6474,-58.4773
22,7,PARQUE CHACABUCO,-34.6359,-58.4373
23,15,PARQUE CHAS,-34.5842,-58.4787
24,4,PARQUE PATRICIOS,-34.6377,-58.4002
25,15,PATERNAL,-34.5959,-58.4716
26,1,PUERTO MADERO,-34.6177,-58.3621
27,2,RECOLETA,-34.5896,-58.3974
28,1,RETIRO,-34.5896,-58.3802
29,12,SAAVEDRA,-34.5542,-58.4915
30,3,SAN CRISTOBAL,-34.6244,-58.3974
31,1,SAN NICOLAS,-33.3335,-60.2111
32,1,SAN TELMO,-34.6212,-58.3731
33,10,VELEZ SARSFIELD,-34.6307,-58.493
34,10,VERSALLES,-34.6306,-58.523
35,15,VILLA CRESPO,-34.5977,-58.443
36,11,VILLA DEL PARQUE,-34.6058,-58.4887
37,11,VILLA DEVOTO,-34.6007,-58.5144
38,11,VILLA GRAL. MITRE,-34.6108,-58.4716
39,8,VILLA LUGANO,-34.6706,-58.4801
40,10,VILLA LURO,-34.639,-58.5001
41,15,VILLA ORTUZAR,-34.5793,-58.4659
42,12,VILLA PUEYRREDON,-34.5808,-58.5058
43,10,VILLA REAL,-34.6198,-58.5244
44,8,VILLA RIACHUELO,-34.6973,-58.4601
45,11,VILLA SANTA RITA,-34.6141,-58.483
46,8,VILLA SOLDATI,-34.6707,-58.4459
47,12,VILLA URQUIZA,-34.5709,-58.4887
